Gene stable ID,Gene stable ID version,Gene type
ENSG00000277335,ENSG00000277335.4,protein_coding
ENSG00000282087,ENSG00000282087.2,protein_coding
ENSG00000273993,ENSG00000273993.4,protein_coding
ENSG00000277974,ENSG00000277974.5,protein_coding
ENSG00000166532,ENSG00000166532.16,protein_coding
ENSG00000164180,ENSG00000164180.13,protein_coding
ENSG00000140932,ENSG00000140932.10,protein_coding
ENSG00000144815,ENSG00000144815.16,protein_coding
ENSG00000282144,ENSG00000282144.2,protein_coding
ENSG00000129048,ENSG00000129048.6,protein_coding
ENSG00000166535,ENSG00000166535.20,protein_coding
ENSG00000240303,ENSG00000240303.8,protein_coding
ENSG00000166136,ENSG00000166136.16,protein_coding
ENSG00000144802,ENSG00000144802.11,protein_coding
ENSG00000144747,ENSG00000144747.17,protein_coding
ENSG00000111640,ENSG00000111640.15,protein_coding
ENSG00000197253,ENSG00000197253.13,protein_coding
ENSG00000177791,ENSG00000177791.11,protein_coding
ENSG00000187522,ENSG00000187522.16,protein_coding
ENSG00000171159,ENSG00000171159.5,protein_coding
ENSG00000275760,ENSG00000275760.4,protein_coding
ENSG00000174151,ENSG00000174151.14,protein_coding
ENSG00000166135,ENSG00000166135.14,protein_coding
ENSG00000161542,ENSG00000161542.16,protein_coding
ENSG00000148337,ENSG00000148337.21,protein_coding
ENSG00000116176,ENSG00000116176.6,protein_coding
ENSG00000144744,ENSG00000144744.17,protein_coding
ENSG00000196557,ENSG00000196557.13,protein_coding
ENSG00000274810,ENSG00000274810.4,protein_coding
ENSG00000173124,ENSG00000173124.14,protein_coding
ENSG00000284024,ENSG00000284024.2,protein_coding
ENSG00000113971,ENSG00000113971.20,protein_coding
ENSG00000138669,ENSG00000138669.9,protein_coding
ENSG00000176945,ENSG00000176945.17,protein_coding
ENSG00000143190,ENSG00000143190.23,protein_coding
ENSG00000185267,ENSG00000185267.10,protein_coding
ENSG00000176170,ENSG00000176170.13,protein_coding
ENSG00000172650,ENSG00000172650.13,protein_coding
ENSG00000165802,ENSG00000165802.22,protein_coding
ENSG00000275918,ENSG00000275918.4,protein_coding
ENSG00000139324,ENSG00000139324.12,protein_coding
ENSG00000166317,ENSG00000166317.12,protein_coding
ENSG00000137673,ENSG00000137673.9,protein_coding
ENSG00000203690,ENSG00000203690.12,protein_coding
ENSG00000056558,ENSG00000056558.11,protein_coding
ENSG00000213218,ENSG00000213218.10,protein_coding
ENSG00000144488,ENSG00000144488.15,protein_coding
ENSG00000082898,ENSG00000082898.16,protein_coding
ENSG00000276358,ENSG00000276358.2,protein_coding
ENSG00000038358,ENSG00000038358.15,protein_coding
ENSG00000120440,ENSG00000120440.15,protein_coding
ENSG00000119335,ENSG00000119335.16,protein_coding
ENSG00000140830,ENSG00000140830.9,protein_coding
ENSG00000170819,ENSG00000170819.4,protein_coding
ENSG00000129910,ENSG00000129910.7,protein_coding
ENSG00000135248,ENSG00000135248.15,protein_coding
ENSG00000144868,ENSG00000144868.13,protein_coding
ENSG00000100749,ENSG00000100749.8,protein_coding
ENSG00000118557,ENSG00000118557.15,protein_coding
ENSG00000118492,ENSG00000118492.17,protein_coding
ENSG00000196482,ENSG00000196482.17,protein_coding
